date,mode_line,ridership,mode,DayOfWeek,TypeOfDay
2023-07-03,lrt ampang,150804,LRT,Monday,Weekday
2023-07-04,lrt ampang,155993,LRT,Tuesday,Weekday
2023-07-05,lrt ampang,158150,LRT,Wednesday,Weekday
2023-07-06,lrt ampang,156377,LRT,Thursday,Weekday
2023-07-07,lrt ampang,158379,LRT,Friday,Weekday
2023-07-08,lrt ampang,109990,LRT,Saturday,Weekend
2023-07-09,lrt ampang,95203,LRT,Sunday,Weekend
2023-07-10,lrt ampang,156303,LRT,Monday,Weekday
2023-07-11,lrt ampang,159590,LRT,Tuesday,Weekday
2023-07-12,lrt ampang,160348,LRT,Wednesday,Weekday
2023-07-13,lrt ampang,158721,LRT,Thursday,Weekday
2023-07-14,lrt ampang,158547,LRT,Friday,Weekday
2023-07-15,lrt ampang,117871,LRT,Saturday,Weekend
2023-07-16,lrt ampang,93528,LRT,Sunday,Weekend
2023-07-17,lrt ampang,153444,LRT,Monday,Weekday
2023-07-18,lrt ampang,158609,LRT,Tuesday,Weekday
2023-07-19,lrt ampang,89868,LRT,Wednesday,Weekday
2023-07-20,lrt ampang,155134,LRT,Thursday,Weekday
2023-07-21,lrt ampang,154701,LRT,Friday,Weekday
2023-07-22,lrt ampang,104782,LRT,Saturday,Weekend
2023-07-23,lrt ampang,85410,LRT,Sunday,Weekend
2023-07-24,lrt ampang,152450,LRT,Monday,Weekday
2023-07-25,lrt ampang,157682,LRT,Tuesday,Weekday
2023-07-26,lrt ampang,158925,LRT,Wednesday,Weekday
2023-07-27,lrt ampang,155926,LRT,Thursday,Weekday
2023-07-28,lrt ampang,160555,LRT,Friday,Weekday
2023-07-29,lrt ampang,130020,LRT,Saturday,Weekend
2023-07-30,lrt ampang,92113,LRT,Sunday,Weekend
2023-07-31,lrt ampang,153214,LRT,Monday,Weekday
2023-08-01,lrt ampang,157947,LRT,Tuesday,Weekday
2023-08-02,lrt ampang,161205,LRT,Wednesday,Weekday
2023-08-03,lrt ampang,157425,LRT,Thursday,Weekday
2023-08-04,lrt ampang,158400,LRT,Friday,Weekday
2023-08-05,lrt ampang,112118,LRT,Saturday,Weekend
2023-08-06,lrt ampang,98591,LRT,Sunday,Weekend
2023-08-07,lrt ampang,157318,LRT,Monday,Weekday
2023-08-08,lrt ampang,160812,LRT,Tuesday,Weekday
2023-08-09,lrt ampang,163797,LRT,Wednesday,Weekday
2023-08-10,lrt ampang,163809,LRT,Thursday,Weekday
2023-08-11,lrt ampang,164588,LRT,Friday,Weekday
2023-08-12,lrt ampang,100952,LRT,Saturday,Weekend
2023-08-13,lrt ampang,99308,LRT,Sunday,Weekend
2023-08-14,lrt ampang,144076,LRT,Monday,Weekday
2023-08-15,lrt ampang,161691,LRT,Tuesday,Weekday
2023-08-16,lrt ampang,161948,LRT,Wednesday,Weekday
2023-08-17,lrt ampang,159244,LRT,Thursday,Weekday
2023-08-18,lrt ampang,163271,LRT,Friday,Weekday
2023-08-19,lrt ampang,112091,LRT,Saturday,Weekend
2023-08-20,lrt ampang,96216,LRT,Sunday,Weekend
2023-08-21,lrt ampang,154047,LRT,Monday,Weekday
2023-08-22,lrt ampang,158572,LRT,Tuesday,Weekday
2023-08-23,lrt ampang,160366,LRT,Wednesday,Weekday
2023-08-24,lrt ampang,159491,LRT,Thursday,Weekday
2023-08-25,lrt ampang,166331,LRT,Friday,Weekday
2023-08-26,lrt ampang,115171,LRT,Saturday,Weekend
2023-08-27,lrt ampang,95205,LRT,Sunday,Weekend
2023-08-28,lrt ampang,151161,LRT,Monday,Weekday
2023-08-29,lrt ampang,160390,LRT,Tuesday,Weekday
2023-08-30,lrt ampang,180258,LRT,Wednesday,Weekday
2023-08-31,lrt ampang,126266,LRT,Thursday,Weekday
2023-09-01,lrt ampang,144989,LRT,Friday,Weekday
2023-09-02,lrt ampang,109734,LRT,Saturday,Weekend
2023-09-03,lrt ampang,94648,LRT,Sunday,Weekend
2023-09-04,lrt ampang,153973,LRT,Monday,Weekday
2023-09-05,lrt ampang,160965,LRT,Tuesday,Weekday
2023-09-06,lrt ampang,162466,LRT,Wednesday,Weekday
2023-09-07,lrt ampang,162063,LRT,Thursday,Weekday
2023-09-08,lrt ampang,161362,LRT,Friday,Weekday
2023-09-09,lrt ampang,123587,LRT,Saturday,Weekend
2023-09-10,lrt ampang,105562,LRT,Sunday,Weekend
2023-09-11,lrt ampang,157865,LRT,Monday,Weekday
