date,mode_line,ridership,mode
1/1/2020,lrt ampang,121747,LRT
2/1/2020,lrt ampang,190649,LRT
3/1/2020,lrt ampang,201790,LRT
4/1/2020,lrt ampang,124779,LRT
5/1/2020,lrt ampang,106788,LRT
6/1/2020,lrt ampang,206219,LRT
7/1/2020,lrt ampang,207455,LRT
8/1/2020,lrt ampang,209607,LRT
9/1/2020,lrt ampang,210306,LRT
10/1/2020,lrt ampang,223495,LRT
11/1/2020,lrt ampang,135136,LRT
12/1/2020,lrt ampang,114429,LRT
13/1/2020,lrt ampang,211032,LRT
14/1/2020,lrt ampang,209704,LRT
15/1/2020,lrt ampang,208418,LRT
16/1/2020,lrt ampang,213161,LRT
17/1/2020,lrt ampang,224279,LRT
18/1/2020,lrt ampang,140721,LRT
19/1/2020,lrt ampang,113073,LRT
20/1/2020,lrt ampang,211886,LRT
21/1/2020,lrt ampang,210979,LRT
22/1/2020,lrt ampang,217668,LRT
23/1/2020,lrt ampang,204178,LRT
24/1/2020,lrt ampang,171416,LRT
25/1/2020,lrt ampang,108129,LRT
26/1/2020,lrt ampang,98225,LRT
27/1/2020,lrt ampang,99186,LRT
28/1/2020,lrt ampang,157878,LRT
29/1/2020,lrt ampang,164411,LRT
30/1/2020,lrt ampang,182480,LRT
31/1/2020,lrt ampang,190294,LRT
1/2/2020,lrt ampang,107899,LRT
2/2/2020,lrt ampang,100012,LRT
3/2/2020,lrt ampang,200007,LRT
4/2/2020,lrt ampang,202182,LRT
5/2/2020,lrt ampang,203820,LRT
6/2/2020,lrt ampang,207245,LRT
7/2/2020,lrt ampang,216633,LRT
8/2/2020,lrt ampang,117586,LRT
9/2/2020,lrt ampang,110719,LRT
10/2/2020,lrt ampang,204497,LRT
11/2/2020,lrt ampang,203530,LRT
12/2/2020,lrt ampang,204706,LRT
13/2/2020,lrt ampang,205583,LRT
14/2/2020,lrt ampang,220430,LRT
15/2/2020,lrt ampang,125749,LRT
16/2/2020,lrt ampang,105583,LRT
17/2/2020,lrt ampang,203720,LRT
18/2/2020,lrt ampang,201615,LRT
19/2/2020,lrt ampang,203991,LRT
20/2/2020,lrt ampang,206536,LRT
21/2/2020,lrt ampang,218057,LRT
22/2/2020,lrt ampang,127509,LRT
23/2/2020,lrt ampang,102108,LRT
24/2/2020,lrt ampang,200512,LRT
25/2/2020,lrt ampang,201721,LRT
26/2/2020,lrt ampang,202457,LRT
27/2/2020,lrt ampang,204757,LRT
28/2/2020,lrt ampang,220077,LRT
29/2/2020,lrt ampang,132066,LRT
1/3/2020,lrt ampang,112593,LRT
2/3/2020,lrt ampang,205190,LRT
3/3/2020,lrt ampang,204296,LRT
4/3/2020,lrt ampang,205303,LRT
5/3/2020,lrt ampang,204795,LRT
6/3/2020,lrt ampang,216070,LRT
7/3/2020,lrt ampang,123769,LRT
8/3/2020,lrt ampang,106171,LRT
9/3/2020,lrt ampang,198406,LRT
10/3/2020,lrt ampang,197495,LRT
11/3/2020,lrt ampang,195238,LRT
12/3/2020,lrt ampang,192315,LRT
13/3/2020,lrt ampang,200794,LRT
14/3/2020,lrt ampang,101154,LRT
15/3/2020,lrt ampang,85059,LRT
16/3/2020,lrt ampang,162415,LRT
17/3/2020,lrt ampang,148840,LRT
18/3/2020,lrt ampang,59073,LRT
19/3/2020,lrt ampang,41991,LRT
20/3/2020,lrt ampang,31881,LRT
21/3/2020,lrt ampang,15277,LRT
22/3/2020,lrt ampang,9517,LRT
23/3/2020,lrt ampang,19924,LRT
24/3/2020,lrt ampang,17793,LRT
25/3/2020,lrt ampang,14756,LRT
26/3/2020,lrt ampang,15240,LRT
27/3/2020,lrt ampang,14928,LRT
28/3/2020,lrt ampang,7878,LRT
29/3/2020,lrt ampang,6587,LRT
30/3/2020,lrt ampang,15054,LRT
31/3/2020,lrt ampang,14975,LRT
1/4/2020,lrt ampang,15471,LRT
2/4/2020,lrt ampang,14667,LRT
3/4/2020,lrt ampang,14803,LRT
4/4/2020,lrt ampang,7979,LRT
5/4/2020,lrt ampang,6606,LRT
6/4/2020,lrt ampang,15174,LRT
7/4/2020,lrt ampang,14489,LRT
8/4/2020,lrt ampang,14509,LRT
9/4/2020,lrt ampang,14775,LRT
10/4/2020,lrt ampang,14377,LRT
11/4/2020,lrt ampang,8532,LRT
